"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Jun-2025","EQ","886.00","887.45","874.70","883.70","882.00","881.75","880.26","1,348.00","588.00","16,73,237","1,47,28,79,976.85","45,219"
"27-Jun-2025","EQ","865.00","900.85","863.00","864.75","883.00","883.70","888.93","1,348.00","588.00","31,18,143","2,77,18,02,076.50","76,086"
"26-Jun-2025","EQ","854.25","866.50","851.00","850.20","863.00","864.75","858.15","1,348.00","588.00","27,17,149","2,33,17,23,912.75","49,949"
"25-Jun-2025","EQ","856.35","863.70","847.05","851.85","852.00","850.20","851.30","1,348.00","588.00","23,16,935","1,97,24,10,637.05","42,832"
"24-Jun-2025","EQ","852.00","866.60","848.00","837.20","851.00","851.85","856.58","1,348.00","588.00","19,22,183","1,64,64,95,380.60","45,575"
"23-Jun-2025","EQ","817.95","842.55","817.80","828.10","836.70","837.20","835.01","1,348.00","588.00","10,79,104","90,10,62,642.45","28,146"
"20-Jun-2025","EQ","826.00","840.90","823.35","823.60","834.40","828.10","828.83","1,348.00","588.00","63,45,674","5,25,94,56,880.15","75,053"
"19-Jun-2025","EQ","845.00","849.05","818.00","846.45","822.00","823.60","829.98","1,348.00","588.00","16,66,745","1,38,33,60,035.15","38,747"
"18-Jun-2025","EQ","848.95","858.55","834.60","848.85","842.45","846.45","844.49","1,348.00","588.00","19,43,400","1,64,11,81,323.45","30,436"
"17-Jun-2025","EQ","866.00","867.35","846.05","865.70","848.95","848.85","853.45","1,348.00","588.00","12,47,192","1,06,44,18,071.30","30,485"
"16-Jun-2025","EQ","861.00","871.00","849.45","861.00","864.95","865.70","863.18","1,348.00","588.00","24,24,281","2,09,25,90,170.85","41,334"
"13-Jun-2025","EQ","860.00","871.75","851.70","876.95","862.75","861.00","861.70","1,348.00","588.00","42,62,332","3,67,28,66,308.00","68,241"
"12-Jun-2025","EQ","908.40","909.95","868.05","904.50","870.55","876.95","894.20","1,348.00","588.00","38,52,260","3,44,46,74,168.65","63,755"
